iter	Passed	Remaining
175	608	2850
176	612	2849
177	615	2842
178	619	2843
179	623	2838
180	626	2833
181	631	2839
182	635	2836
183	638	2830
184	640	2823
185	642	2812
186	644	2802
187	646	2793
188	649	2786
189	652	2782
190	654	2773
191	657	2765
192	659	2757
193	661	2746
194	664	2743
195	670	2748
196	672	2740
197	675	2735
198	693	2792
199	696	2786
200	705	2803
201	712	2815
202	716	2814
203	719	2807
204	724	2809
205	728	2806
206	733	2809
207	735	2800
208	737	2791
209	740	2787
210	743	2781
211	746	2776
212	750	2772
213	754	2769
214	757	2764
215	760	2759
216	762	2752
217	765	2745
218	769	2744
219	774	2746
220	777	2740
221	780	2733
222	783	2729
223	787	2726
224	793	2734
225	798	2733
226	801	2730
227	804	2725
228	807	2717
229	809	2709
230	811	2703
231	816	2703
232	819	2696
233	821	2690
234	824	2685
235	827	2677
236	830	2673
237	832	2665
238	835	2658
239	837	2651
240	839	2643
241	842	2637
242	851	2652
243	866	2684
244	868	2676
245	870	2669
246	872	2660
247	874	2651
248	880	2654
249	882	2647
250	884	2639
251	886	2632
252	889	2625
253	891	2618
254	971	2838
255	979	2847
256	1171	3387
257	1174	3378
258	1177	3367
259	1179	3356
260	1181	3345
261	1184	3336
262	1193	3343
263	1195	3332
264	1199	3327
265	1204	3324
266	1207	3315
267	1209	3304
268	1212	3294
269	1214	3283
270	1218	3277
271	1220	3267
272	1223	3259
273	1226	3248
274	1227	3237
275	1230	3228
276	1237	3230
277	1239	3219
278	1241	3209
279	1244	3199
280	1246	3188
281	1248	3179
282	1250	3169
283	1252	3158
284	1255	3148
285	1258	3142
286	1260	3132
287	1263	3124
288	1266	3115
289	1279	3131
290	1281	3122
291	1285	3116
292	1287	3107
293	1289	3097
294	1302	3113
295	1304	3103
296	1306	3093
297	1308	3083
298	1311	3074
299	1314	3066
300	1316	3056
301	1319	3050
302	1322	3042
303	1325	3034
304	1328	3026
305	1330	3016
306	1332	3007
307	1335	3000
308	1337	2990
309	1339	2981
310	1343	2975
311	1345	2966
312	1347	2957
313	1349	2947
314	1351	2938
315	1353	2929
316	1355	2919
317	1357	2911
318	1359	2903
319	1362	2895
320	1364	2887
321	1373	2891
322	1375	2883
323	1378	2875
324	1380	2866
325	1382	2858
326	1386	2852
327	1388	2844
328	1392	2839
329	1394	2830
330	1396	2821
331	1398	2813
332	1400	2804
333	1403	2797
334	1407	2794
335	1413	2793
336	1421	2796
337	1425	2792
338	1428	2785
339	1431	2779
340	1435	2774
341	1438	2768
342	1440	2759
343	1442	2751
344	1449	2752
345	1452	2746
346	1456	2740
347	1458	2732
348	1464	2731
349	1467	2724
350	1469	2716
351	1471	2709
352	1473	2701
353	1476	2693
354	1478	2685
355	1480	2677
356	1482	2669
357	1484	2661
358	1486	2654
359	1489	2647
360	1491	2639
361	1493	2632
362	1498	2628
363	1502	2624
364	1504	2617
365	1506	2610
366	1510	2604
367	1513	2599
368	1516	2593
369	1518	2585
370	1522	2580
371	1523	2572
372	1529	2570
373	1531	2563
374	1533	2555
375	1534	2547
376	1536	2539
377	1538	2532
378	1541	2525
379	1543	2519
380	1546	2511
381	1548	2504
382	1550	2497
383	1552	2490
384	1554	2482
385	1556	2475
386	1558	2467
387	1560	2461
388	1565	2458
389	1567	2451
390	1570	2446
391	1573	2440
392	1578	2437
393	1580	2431
394	1582	2424
395	1585	2417
396	1587	2411
397	1598	2417
398	1601	2412
399	1607	2411
400	1610	2405
401	1614	2402
402	1624	2406
403	1628	2401
404	1631	2396
405	1634	2391
406	1640	2390
407	1644	2385
408	1646	2379
409	1653	2379
410	1656	2373
411	1658	2366
412	1660	2359
413	1662	2353
414	1664	2346
415	1670	2345
416	1672	2338
417	1674	2331
418	1677	2326
419	1680	2320
420	1683	2314
421	1685	2309
422	1689	2304
423	1691	2298
424	1693	2291
425	1696	2285
426	1699	2280
427	1703	2276
428	1710	2276
429	1717	2277
